cluster_representative,structure_id,cluster_size,cluster_rank,is_singleton,is_representative,cluster_percentage_of_dataset,cluster_size_percentile,in_top_10_clusters,in_top_20_clusters,in_top_50_clusters,cumulative_coverage_at_rank,dataset_shannon_entropy,dataset_max_shannon_entropy,dataset_normalized_shannon,dataset_simpson_index,dataset_inverse_simpson,dataset_effective_n_clusters,dataset_evenness,dataset_total_structures,dataset_total_clusters,dataset_singleton_clusters,dataset_largest_cluster_size,dataset_mean_cluster_size,dataset_median_cluster_size,dataset_redundancy_pct,dataset
S10_4FXE_1006_49_158_0001_0001_m_4FXE_12556_206_254_0001_0001_m_combined_2_dldesign_0_af2pred,S10_4FXE_1006_49_158_0001_0001_m_4FXE_12556_206_254_0001_0001_m_combined_2_dldesign_0_af2pred,1,35,True,True,0.2028397565922921,15.720081135902635,False,False,True,82.96146044624746,5.721193378963802,7.554588851677638,0.7573136660763881,0.06280626540327257,15.921978381919429,15.921978381919429,0.7573136660763881,493,188,154,91,2.622340425531915,1.0,61.86612576064909,seed_guided
S10_4FXE_1006_49_158_0001_0001_m_4FXE_13069_356_317_0001_0001_m_combined_2_dldesign_0_af2pred,S10_4FXE_1006_49_158_0001_0001_m_4FXE_13069_356_317_0001_0001_m_combined_2_dldesign_0_af2pred,1,36,True,True,0.2028397565922921,15.720081135902635,False,False,True,94.32048681541582,5.721193378963802,7.554588851677638,0.7573136660763881,0.06280626540327257,15.921978381919429,15.921978381919429,0.7573136660763881,493,188,154,91,2.622340425531915,1.0,61.86612576064909,seed_guided
S10_4FXE_1006_49_158_0001_0001_m_4FXE_14937_205_253_0001_0001_m_combined_1_dldesign_0_af2pred,S10_4FXE_1006_49_158_0001_0001_m_4FXE_14937_205_253_0001_0001_m_combined_1_dldesign_0_af2pred,1,37,True,True,0.2028397565922921,15.720081135902635,False,False,True,88.03245436105476,5.721193378963802,7.554588851677638,0.7573136660763881,0.06280626540327257,15.921978381919429,15.921978381919429,0.7573136660763881,493,188,154,91,2.622340425531915,1.0,61.86612576064909,seed_guided
S10_4FXE_1006_49_158_0001_0001_m_4FXE_5700_1223_1203_0001_0001_m_combined_4_dldesign_0_af2pred,S10_4FXE_1006_49_158_0001_0001_m_4FXE_5700_1223_1203_0001_0001_m_combined_4_dldesign_0_af2pred,1,38,True,True,0.2028397565922921,15.720081135902635,False,False,True,88.23529411764706,5.721193378963802,7.554588851677638,0.7573136660763881,0.06280626540327257,15.921978381919429,15.921978381919429,0.7573136660763881,493,188,154,91,2.622340425531915,1.0,61.86612576064909,seed_guided
S10_4FXE_1006_551_660_0001_0001_m_4FXE_10442_225_12_0001_0001_m_combined_1_dldesign_0_af2pred,S10_4FXE_1006_551_660_0001_0001_m_4FXE_10442_225_12_0001_0001_m_combined_1_dldesign_0_af2pred,1,39,True,True,0.2028397565922921,15.720081135902635,False,False,True,88.43813387423936,5.721193378963802,7.554588851677638,0.7573136660763881,0.06280626540327257,15.921978381919429,15.921978381919429,0.7573136660763881,493,188,154,91,2.622340425531915,1.0,61.86612576064909,seed_guided
S10_4FXE_1006_551_660_0001_0001_m_4FXE_10940_224_349_0001_0001_m_combined_2_dldesign_0_af2pred,S10_4FXE_1006_551_660_0001_0001_m_4FXE_10940_224_349_0001_0001_m_combined_2_dldesign_0_af2pred,1,40,True,True,0.2028397565922921,15.720081135902635,False,False,True,88.64097363083164,5.721193378963802,7.554588851677638,0.7573136660763881,0.06280626540327257,15.921978381919429,15.921978381919429,0.7573136660763881,493,188,154,91,2.622340425531915,1.0,61.86612576064909,seed_guided
S10_4FXE_1006_551_660_0001_0001_m_4FXE_13069_356_317_0001_0001_m_combined_0_dldesign_0_af2pred,S10_4FXE_1006_551_660_0001_0001_m_4FXE_13069_356_317_0001_0001_m_combined_0_dldesign_0_af2pred,1,41,True,True,0.2028397565922921,15.720081135902635,False,False,True,88.84381338742394,5.721193378963802,7.554588851677638,0.7573136660763881,0.06280626540327257,15.921978381919429,15.921978381919429,0.7573136660763881,493,188,154,91,2.622340425531915,1.0,61.86612576064909,seed_guided
S10_4FXE_1006_551_660_0001_0001_m_4FXE_13069_356_317_0001_0001_m_combined_2_dldesign_0_af2pred,S10_4FXE_1006_551_660_0001_0001_m_4FXE_13069_356_317_0001_0001_m_combined_2_dldesign_0_af2pred,1,42,True,True,0.2028397565922921,15.720081135902635,False,False,True,89.04665314401623,5.721193378963802,7.554588851677638,0.7573136660763881,0.06280626540327257,15.921978381919429,15.921978381919429,0.7573136660763881,493,188,154,91,2.622340425531915,1.0,61.86612576064909,seed_guided
S10_4FXE_1006_551_660_0001_0001_m_4FXE_14423_1003_1126_0001_0001_m_combined_4_dldesign_0_af2pred,S10_4FXE_1006_551_660_0001_0001_m_4FXE_14423_1003_1126_0001_0001_m_combined_4_dldesign_0_af2pred,1,43,True,True,0.2028397565922921,15.720081135902635,False,False,True,89.24949290060852,5.721193378963802,7.554588851677638,0.7573136660763881,0.06280626540327257,15.921978381919429,15.921978381919429,0.7573136660763881,493,188,154,91,2.622340425531915,1.0,61.86612576064909,seed_guided
S10_4FXE_1006_551_660_0001_0001_m_4FXE_14895_212_353_0001_0001_m_combined_1_dldesign_0_af2pred,S10_4FXE_1006_551_660_0001_0001_m_4FXE_14895_212_353_0001_0001_m_combined_1_dldesign_0_af2pred,1,44,True,True,0.2028397565922921,15.720081135902635,False,False,True,89.45233265720081,5.721193378963802,7.554588851677638,0.7573136660763881,0.06280626540327257,15.921978381919429,15.921978381919429,0.7573136660763881,493,188,154,91,2.622340425531915,1.0,61.86612576064909,seed_guided
S10_4FXE_1006_551_660_0001_0001_m_4FXE_16306_151_176_0001_0001_m_combined_4_dldesign_0_af2pred,S10_4FXE_1006_551_660_0001_0001_m_4FXE_16306_151_176_0001_0001_m_combined_4_dldesign_0_af2pred,1,45,True,True,0.2028397565922921,15.720081135902635,False,False,True,89.65517241379311,5.721193378963802,7.554588851677638,0.7573136660763881,0.06280626540327257,15.921978381919429,15.921978381919429,0.7573136660763881,493,188,154,91,2.622340425531915,1.0,61.86612576064909,seed_guided
S10_4FXE_1006_551_660_0001_0001_m_4FXE_19766_93_45_0001_0001_m_combined_1_dldesign_0_af2pred,S10_4FXE_1006_551_660_0001_0001_m_4FXE_19766_93_45_0001_0001_m_combined_1_dldesign_0_af2pred,1,46,True,True,0.2028397565922921,15.720081135902635,False,False,True,89.8580121703854,5.721193378963802,7.554588851677638,0.7573136660763881,0.06280626540327257,15.921978381919429,15.921978381919429,0.7573136660763881,493,188,154,91,2.622340425531915,1.0,61.86612576064909,seed_guided
